SSN,NAME,ADDRESS,CITY,STATE,TELEPHONE,PERSONTYPE,ZIP
12345678,HARIKA_1,APT R08,Columbus_1,GA,7163324000,,31000
12345679,HARIKA_2,APT R09,Columbus_2,GA,7163324001,,31001
12345680,HARIKA_3,APT R10,Columbus_3,GA,7163324002,,31002
12345681,HARIKA_4,APT R11,Columbus_4,GA,7163324003,,31003
12345682,HARIKA_5,APT R12,Columbus_5,GA,7163324004,,31004
12345683,HARIKA_6,APT R13,Columbus_6,GA,7163324005,,31005
12345684,HARIKA_7,APT R14,Columbus_7,GA,7163324006,,31006
12345685,HARIKA_8,APT R15,Columbus_8,GA,7163324007,,31007
12345686,HARIKA_9,APT R16,Columbus_9,GA,7163324008,,31008
12345687,HARIKA_10,APT R17,Columbus_10,GA,7163324009,,31009
12345688,HARIKA_11,APT R18,Columbus_11,GA,7163324010,,31010
12345689,HARIKA_12,APT R19,Columbus_12,GA,7163324011,,31011
12345690,HARIKA_13,APT R20,Columbus_13,GA,7163324012,,31012
12345691,HARIKA_14,APT R21,Columbus_14,GA,7163324013,,31013
12345692,HARIKA_15,APT R22,Columbus_15,GA,7163324014,,31014
12345693,HARIKA_16,APT R23,Columbus_16,GA,7163324015,,31015
12345694,HARIKA_17,APT R24,Columbus_17,GA,7163324016,,31016
12345695,HARIKA_18,APT R25,Columbus_18,GA,7163324017,,31017
12345696,HARIKA_19,APT R26,Columbus_19,GA,7163324018,,31018
12345697,HARIKA_20,APT R27,Columbus_20,GA,7163324019,,31019
12345698,HARIKA_21,APT R28,Columbus_21,GA,7163324020,,31020
12345699,HARIKA_22,APT R29,Columbus_22,GA,7163324021,,31021
12345700,HARIKA_23,APT R30,Columbus_23,GA,7163324022,,31022
12345701,HARIKA_24,APT R31,Columbus_24,GA,7163324023,,31023
12345702,HARIKA_25,APT R32,Columbus_25,GA,7163324024,,31024
12345703,HARIKA_26,APT R33,Columbus_26,GA,7163324025,,31025
12345704,HARIKA_27,APT R34,Columbus_27,GA,7163324026,,31026
12345705,HARIKA_28,APT R35,Columbus_28,GA,7163324027,,31027
12345706,HARIKA_29,APT R36,Columbus_29,GA,7163324028,,31028
12345707,HARIKA_30,APT R37,Columbus_30,GA,7163324029,,31029
12345708,HARIKA_31,APT R38,Columbus_31,GA,7163324030,,31030
12345709,HARIKA_32,APT R39,Columbus_32,GA,7163324031,,31031
12345710,HARIKA_33,APT R40,Columbus_33,GA,7163324032,,31032
12345711,HARIKA_34,APT R41,Columbus_34,GA,7163324033,,31033
12345712,HARIKA_35,APT R42,Columbus_35,GA,7163324034,,31034
12345713,HARIKA_36,APT R43,Columbus_36,GA,7163324035,,31035
12345714,HARIKA_37,APT R44,Columbus_37,GA,7163324036,,31036
12345715,HARIKA_38,APT R45,Columbus_38,GA,7163324037,,31037
12345716,HARIKA_39,APT R46,Columbus_39,GA,7163324038,,31038
12345717,HARIKA_40,APT R47,Columbus_40,GA,7163324039,,31039
12345718,HARIKA_41,APT R48,Columbus_41,GA,7163324040,,31040
12345719,HARIKA_42,APT R49,Columbus_42,GA,7163324041,,31041
