DID,SSN,ITEMID
1,12345736,1
2,12345737,2
3,12345738,3
4,12345739,4
5,12345740,5
6,12345741,6
7,12345742,7
8,12345743,8
9,12345744,9
10,12345745,10
11,12345746,11
12,12345736,12
13,12345737,13
14,12345738,14
15,12345739,15
16,12345740,16
17,12345741,17
18,12345742,18
19,12345743,19
20,12345744,20
21,12345745,21
22,12345746,22
23,12345747,23
24,12345748,24
25,12345747,25
26,12345748,26
27,12345747,27
28,12345748,28
29,12345749,29
30,12345750,30
31,15451018,24
32,15451019,24
33,15451020,24
34,15451021,24
35,15451022,24
36,15451023,24
37,15451024,24
38,15451025,24
39,15451026,24
40,15451027,24
41,15451028,24
42,15451029,24
43,15451030,24
44,15451031,24
45,15451032,24
46,15451033,24
47,15451034,24
48,15451035,24
49,15451036,24
50,15451037,24
51,15451038,24
52,15451039,24
53,15451040,24
54,15451041,24
55,15451042,24
56,15451043,24
57,15451044,24
58,15451045,24
59,15451046,24
60,15451047,24
61,15451048,24
62,15451049,24
63,15451050,24
64,15451051,24
65,15451052,24
66,15451053,24
67,15451054,24
68,15451055,24
69,15451056,24
70,15451057,24
71,15451058,24
72,15451059,24
73,15451060,24
74,15451061,24
75,15451062,24
76,15451063,24
77,15451064,24
78,15451065,24
79,15451066,24
80,15451067,24
81,15451068,24
82,15451069,24
83,15451070,24
84,15451071,24
85,15451072,24
86,15451073,24
87,15451074,24
88,15451075,24
89,15451076,24
90,15451077,24
91,15451078,24
92,15451079,24
93,15451080,24
94,15451081,24
95,15451082,24
96,15451083,24
97,15451084,24
98,15451085,24
99,15451086,24
100,15451087,24
101,15451088,24
102,15451089,24
103,15451090,24
104,15451091,24
105,15451092,24
106,15451093,24
107,15451094,24
108,15451095,24
109,15451096,24
110,15451097,24
111,15451098,24
112,15451099,24
113,15451100,24
114,15451101,24
115,15451102,24
116,15451103,24
117,15451104,24
118,15451105,24
119,15451106,24
120,15451107,24
121,15451108,24
122,15451109,24
123,15451110,24
124,15451111,24
125,15451112,24
126,15451113,24
127,15451114,24
128,15451115,24
129,15451116,24
130,15451117,24
131,15451118,24
132,15451119,24
133,15451120,24
134,15451121,24
135,15451122,24
136,15451123,24
137,15451124,24
138,15451125,24
139,15451126,24
140,15451127,24
141,15451128,24
142,15451129,24
143,15451130,24
144,15451131,24
145,15451132,24
146,15451133,24
147,15451134,24
148,15451135,24
149,15451136,24
150,15451137,24
151,15451138,24
152,15451139,24
153,15451140,24
154,15451141,24
155,15451142,24
156,15451143,24
157,15451144,24
158,15451145,24
159,15451146,24
160,15451147,24
161,15451148,24
162,15451149,24
163,15451150,24
164,15451151,24
165,15451152,24
166,15451153,24
167,15451154,24
168,15451155,24
169,15451156,24
170,15451157,24
171,15451158,24
172,15451159,24
173,15451160,24
174,15451161,24
175,15451162,24
176,15451163,24
177,15451164,24
178,15451165,24
179,15451166,24
180,15451167,24
181,15451168,24
182,15451169,24
183,15451170,24
184,15451171,24
185,15451172,24
186,15451173,24
187,15451174,24
188,15451175,24
189,15451176,24
190,15451177,24
191,15451178,24
192,15451179,24
193,15451180,24
194,15451181,24
195,15451182,24
196,15451183,24
197,15451184,24
198,15451185,24
199,15451186,24
200,15451187,24
201,15451188,24
202,15451189,24
203,15451190,24
204,15451191,24
205,15451192,24
206,15451193,24
207,15451194,24
208,15451195,24
209,15451196,24
210,15451197,24
211,15451198,24
212,15451199,24
213,15451200,24
214,15451201,24
215,15451202,24
216,15451203,24
217,15451204,24
218,15451205,24
219,15451206,24
220,15451207,24
221,15451208,24
222,15451209,24
223,15451210,24
224,15451211,24
225,15451212,24
226,15451213,24
227,15451214,24
228,15451215,24
229,15451216,24
230,15451217,24
231,15451218,24
232,15451219,24
233,15451220,24
234,15451221,24
235,15451222,24
236,15451223,24
237,15451224,24
238,15451225,24
239,15451226,24
240,15451227,24
241,15451228,24
242,15451229,24
243,15451230,24
244,15451231,24
245,15451232,24
246,15451233,24
247,15451234,24
248,15451235,24
249,15451236,24
250,15451237,24
251,15451238,24
252,15451239,24
253,15451240,24
254,15451241,24
255,15451242,24
256,15451243,24
257,15451244,24
258,15451245,24
259,15451246,24
260,15451247,24
261,15451248,24
262,15451249,24
263,15451250,24
264,15451251,24
265,15451252,24
266,15451253,24
267,15451254,24
268,15451255,24
269,15451256,24
270,15451257,24
271,15451258,24
272,15451259,24
273,15451260,24
274,15451261,24
275,15451262,24
276,15451263,24
277,15451264,24
278,15451265,24
279,15451266,24
280,15451267,24
281,15451268,24
282,15451269,24
283,15451270,24
284,15451271,24
285,15451272,24
286,15451273,24
287,15451274,24
288,15451275,24
289,15451276,24
290,15451277,24
291,15451278,24
292,15451279,24
293,15451280,24
294,15451281,24
295,15451282,24
296,15451283,24
297,15451284,24
298,15451285,24
299,15451286,24
300,15451287,24
301,15451288,24
302,15451289,24
303,15451290,24
304,15451291,24
305,15451292,24
306,15451293,24
307,15451294,24
308,15451295,24
309,15451296,24
310,15451297,24
311,15451298,24
312,15451299,24
313,15451300,24
314,15451301,24
315,15451302,24
316,15451303,24
317,15451304,24
318,15451305,24
319,15451306,24
320,15451307,24
321,15451308,24
322,15451309,24
323,15451310,24
324,15451311,24
325,15451312,24
326,15451313,24
327,15451314,24
328,15451315,24
329,15451316,24
330,15451317,24
331,15451318,24
332,15451319,24
333,15451320,24
334,15451321,24
335,15451322,24
336,15451323,24
337,15451324,24
338,15451325,24
339,15451326,24
340,15451327,24
341,15451328,24
342,15451329,24
343,15451330,24
344,15451331,24
345,15451332,24
346,15451333,24
347,15451334,24
348,15451335,24
349,15451336,24
350,15451337,24
351,15451338,24
352,15451339,24
353,15451340,24
354,15451341,24
355,15451342,24
356,15451343,24
357,15451344,24
358,15451345,24
359,15451346,24
360,15451347,24
361,15451348,24
362,15451349,24
363,15451350,24
364,15451351,24
365,15451352,24
366,15451353,24
367,15451354,24
368,15451355,24
369,15451356,24
370,15451357,24
371,15451358,24
372,15451359,24
373,15451360,24
374,15451361,24
375,15451362,24
376,15451363,24
377,15451364,24
378,15451365,24
379,15451366,24
380,15451367,24
381,15451368,24
382,15451369,24
383,15451370,24
384,15451371,24
385,15451372,24
386,15451373,24
387,15451374,24
388,15451375,24
389,15451376,24
390,15451377,24
391,15451378,24
392,15451379,24
393,15451380,24
394,15451381,24
395,15451382,24
396,15451383,24
397,15451384,24
398,15451385,24
399,15451386,24
400,15451387,24
401,15451388,24
402,15451389,24
403,15451390,24
404,15451391,24
405,15451392,24
406,15451393,24
407,15451394,24
408,15451395,24
409,15451396,24
410,15451397,24
411,15451398,24
412,15451399,24
413,15451400,24
414,15451401,24
415,15451402,24
416,15451403,24
417,15451404,24
418,15451405,24
419,15451406,24
420,15451407,24
421,15451408,24
422,15451409,24
423,15451410,24
424,15451411,24
425,15451412,24
426,15451413,24
427,15451414,24
428,15451415,24
429,15451416,24
430,15451417,24
431,15451418,24
432,15451419,24
433,15451420,24
434,15451421,24
435,15451422,24
436,15451423,24
437,15451424,24
438,15451425,24
439,15451426,24
440,15451427,24
441,15451428,24
442,15451429,24
443,15451430,24
444,15451431,24
445,15451432,24
446,15451433,24
447,15451434,24
448,15451435,24
449,15451436,24
450,15451437,24
451,15451438,24
452,15451439,24
453,15451440,24
454,15451441,24
455,15451442,24
456,15451443,24
457,15451444,24
458,15451445,24
459,15451446,24
460,15451447,24
461,15451448,24
462,15451449,24
463,15451450,24
464,15451451,24
465,15451452,24
466,15451453,24
467,15451454,24
468,15451455,24
469,15451456,24
470,15451457,24
471,15451458,24
472,15451459,24
473,15451460,24
474,15451461,24
475,15451462,24
476,15451463,24
477,15451464,24
478,15451465,24
479,15451466,24
480,15451467,24
481,15451468,24
482,15451469,24
483,15451470,24
484,15451471,24
485,15451472,24
486,15451473,24
487,15451474,24
488,15451475,24
489,15451476,24
490,15451477,24
491,15451478,24
492,15451479,24
493,15451480,24
494,15451481,24
495,15451482,24
496,15451483,24
497,15451484,24
498,15451485,24
499,15451486,24
500,15451487,24
501,15451488,24
502,15451489,24
503,15451490,24
504,15451491,24
505,15451492,24
506,15451493,24
507,15451494,24
508,15451495,24
509,15451496,24
510,15451497,24
511,15451498,24
512,15451499,24
513,15451500,24
514,15451501,24
515,15451502,24
516,15451503,24
517,15451504,24
518,15451505,24
519,15451506,24
520,15451507,24
521,15451508,24
522,15451509,24
523,15451510,24
524,15451511,24
525,15451512,24
526,15451513,24
527,15451514,24
528,15451515,24
529,15451516,24
530,15451517,24
531,15451518,24
532,15451519,24
533,15451520,24
534,15451521,24
535,15451522,24
536,15451523,24
537,15451524,24
538,15451525,24
539,15451526,24
540,15451527,24
541,15451528,24
542,15451529,24
543,15451530,24
544,15451531,24
545,15451532,24
546,15451533,24
