VID,SSN,SKILL
1,12345707,SKILL 1
2,12345708,SKILL 2
3,12345709,SKILL 3
4,12345710,SKILL 4
5,12345711,SKILL 5
6,12345712,SKILL 6
7,12345713,SKILL 7
8,12345714,SKILL 8
9,12345715,SKILL 9
10,12345716,SKILL 10
11,12345717,SKILL 11
12,12345718,SKILL 12
13,12345719,SKILL 13
14,12345720,SKILL 14
15,12345721,SKILL 15
16,12345722,SKILL 16
17,12345723,SKILL 17
18,12345724,SKILL 18
19,12345725,SKILL 19
20,12345726,SKILL 20
21,12345727,SKILL 21
22,12345728,SKILL 22
23,12345729,SKILL 23
24,12345730,SKILL 24
25,12345731,SKILL 25
26,12345732,SKILL 26
27,12345733,SKILL 27
28,12345734,SKILL 28
29,12345735,SKILL 29
30,12345782,SKILL 1
31,12345783,SKILL 2
32,12345784,SKILL 3
33,12345785,SKILL 4
34,12345786,SKILL 5
35,15450000,SKILL 6
36,15450001,SKILL 7
37,15450002,SKILL 8
38,15450003,SKILL 9
39,15450004,SKILL 10
40,15450005,SKILL 11
41,15450006,SKILL 12
42,15450007,SKILL 13
43,15450008,SKILL 14
44,15450009,SKILL 15
45,15450010,SKILL 16
46,15450011,SKILL 17
47,15450012,SKILL 18
48,15450013,SKILL 19
49,15450014,SKILL 20
50,15450015,SKILL 21
51,15450016,SKILL 22
52,15450017,SKILL 23
53,15450018,SKILL 24
54,15450019,SKILL 25
55,15450020,SKILL 26
56,15450021,SKILL 27
57,15450022,SKILL 28
58,15450023,SKILL 29
59,15450024,SKILL 1
60,15450025,SKILL 2
61,15450026,SKILL 3
62,15450027,SKILL 4
63,15450028,SKILL 5
64,15450029,SKILL 6
65,15450030,SKILL 7
66,15450031,SKILL 8
67,15450032,SKILL 9
68,15450033,SKILL 10
69,15450034,SKILL 11
70,15450035,SKILL 12
71,15450036,SKILL 13
72,15450037,SKILL 14
73,15450038,SKILL 15
74,15450039,SKILL 16
75,15450040,SKILL 17
76,15450041,SKILL 18
77,15450042,SKILL 19
78,15450043,SKILL 20
79,15450044,SKILL 21
80,15450045,SKILL 22
81,15450046,SKILL 23
82,15450047,SKILL 24
83,15450048,SKILL 25
84,15450049,SKILL 26
85,15450050,SKILL 27
86,15450051,SKILL 28
87,15450052,SKILL 29
88,15450053,SKILL 1
89,15450054,SKILL 2
90,15450055,SKILL 3
91,15450056,SKILL 4
92,15450057,SKILL 5
93,15450058,SKILL 6
94,15450059,SKILL 7
95,15450060,SKILL 8
96,15450061,SKILL 9
97,15450062,SKILL 10
98,15450063,SKILL 11
99,15450064,SKILL 12
100,15450065,SKILL 13
101,15450066,SKILL 14
102,15450067,SKILL 15
103,15450068,SKILL 16
104,15450069,SKILL 17
105,15450070,SKILL 18
106,15450071,SKILL 19
107,15450072,SKILL 20
108,15450073,SKILL 21
109,15450074,SKILL 22
110,15450075,SKILL 23
111,15450076,SKILL 24
112,15450077,SKILL 25
113,15450078,SKILL 26
